,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
24,24.0,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000.0,12.68,0.49,N,3.0,1
25,21.0,11000.0,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,0.42000000000000004,Y,3.0,1
26,23.0,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0.13,N,3.0,0
27,24.0,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,0.5,N,3.0,1
28,21.0,11389.000000000007,OTHER,5.0,EDUCATION,C,4000.0,12.84,0.35,Y,2.0,1
29,21.0,11520.0,OWN,5.0,MEDICAL,B,2000.0,11.12,0.17,N,3.0,1
30,25.0,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,0.27,N,2.0,0
31,26.0,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,0.33,Y,3.0,1
32,25.0,306000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0.08,N,3.0,0
33,26.0,300000.0,MORTGAGE,10.0,MEDICAL,C,7800.0,13.49,0.03,N,4.0,0
34,21.0,12000.000000000007,OWN,5.0,EDUCATION,A,2500.0,7.51,0.21,N,4.0,1
35,22.0,48000.0,RENT,1.0,EDUCATION,E,30000.0,18.39,0.63,N,2.0,1
36,24.0,64000.0,RENT,8.0,DEBTCONSOLIDATION,D,30000.0,14.54,0.47,Y,3.0,1
37,25.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,0.4,Y,4.0,1
38,23.0,71500.0,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,15.26,0.42000000000000004,N,4.0,1
39,26.0,62050.0,RENT,6.0,MEDICAL,E,30000.0,17.99,0.41000000000000003,N,2.0,1
40,24.0,12000.000000000007,OWN,4.0,VENTURE,B,2500.0,12.69,0.21,N,3.0,1
41,26.0,300000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,0.07,N,4.0,0
42,23.0,300000.0,OWN,1.0,EDUCATION,F,24250.0,19.41,0.08,Y,2.0,0
43,26.0,300000.0,OWN,9.0,HOMEIMPROVEMENT,B,10000.0,10.38,0.03,N,4.0,0
44,26.0,300000.0,MORTGAGE,0.0,EDUCATION,D,25000.0,15.33,0.08,N,3.0,0
45,25.0,300000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000.0,16.45,0.06000000000000001,N,3.0,0
46,26.0,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,0.37,N,3.0,1
47,22.0,66300.0,RENT,4.0,MEDICAL,B,30000.0,12.69,0.38,N,3.0,1
48,26.0,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,0.34,N,3.0,1
49,24.0,78000.0,RENT,4.0,DEBTCONSOLIDATION,D,30000.0,16.263333333333332,0.38,Y,4.0,1
50,23.0,78000.0,RENT,7.0,DEBTCONSOLIDATION,F,30000.0,18.62,0.38,Y,3.0,1
51,23.0,92004.0,RENT,6.0,PERSONAL,C,30000.0,15.23,0.33,Y,3.0,1
52,23.0,97000.0,RENT,7.0,VENTURE,B,30000.0,10.65,0.31,N,2.0,1
53,25.0,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,0.25,N,4.0,0
54,26.0,280000.0,RENT,4.0,PERSONAL,C,10000.0,15.96,0.04000000000000001,Y,3.0,0
55,26.0,277104.0,RENT,0.0,VENTURE,B,20000.0,11.48,0.07,N,3.0,0
56,23.0,277000.0,OWN,3.0,PERSONAL,A,35000.0,8.533333333333335,0.13,N,4.0,0
57,25.0,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,0.23,N,4.0,0
58,24.0,12000.000000000007,OWN,2.0,VENTURE,E,1750.000000000001,17.173333333333332,0.15,Y,3.0,0
59,21.0,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,0.23,N,4.0,0
60,22.0,275000.0,OWN,6.0,VENTURE,B,12000.0,11.58,0.04000000000000001,N,2.0,0
61,26.0,263000.0,MORTGAGE,0.0,EDUCATION,B,10000.0,9.486666666666666,0.04000000000000001,N,4.0,1
62,25.0,221850.0,MORTGAGE,9.0,MEDICAL,D,25000.0,15.7,0.1,N,2.0,1
63,22.0,70000.0,RENT,6.0,EDUCATION,D,29100.0,15.99,0.42000000000000004,N,3.0,1
64,22.0,12000.000000000007,MORTGAGE,7.0,EDUCATION,D,1500.0,14.84,0.13,Y,3.0,0
65,26.0,260000.0,OWN,10.0,HOMEIMPROVEMENT,B,28000.0,10.99,0.11,N,3.0,0
66,25.0,259000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000.0,14.42,0.08,Y,2.0,0
67,24.0,255000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,0.04000000000000001,N,2.0,0
68,25.0,250000.0,RENT,2.0,MEDICAL,C,25000.0,13.49,0.1,N,4.0,0
69,25.0,12000.000000000007,OWN,0.0,MEDICAL,C,3000.000000000001,12.973333333333333,0.25,N,3.0,1
70,22.0,56950.0,RENT,6.0,MEDICAL,A,28000.0,10.120000000000001,0.49,N,2.0,1
71,21.0,12000.000000000007,OWN,6.0,EDUCATION,C,3000.000000000001,13.61,0.25,Y,3.0,1
72,23.0,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,0.42999999999999994,N,2.0,1
73,26.0,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,0.33,N,3.0,1
74,26.0,12000.000000000007,OWN,2.0,EDUCATION,A,6100.0,7.51,0.51,N,3.0,1
75,22.0,88000.0,RENT,6.0,VENTURE,B,28000.0,9.91,0.32,N,3.0,1
76,21.0,12000.000000000007,OWN,0.0,PERSONAL,C,4200.0,13.48,0.35,Y,4.0,1
77,22.0,12000.000000000007,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.139999999999999,0.4,N,2.0,1
78,24.0,83004.0,RENT,0.0,VENTURE,D,28000.0,15.99,0.34,Y,4.0,1
79,24.0,250000.0,RENT,2.0,EDUCATION,C,18000.0,12.98,0.07,Y,3.0,0
80,25.0,100000.0,RENT,5.0,DEBTCONSOLIDATION,B,28000.0,12.69,0.28,N,3.0,0
81,26.0,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,0.25,N,2.0,0
82,26.0,12000.000000000007,OWN,0.0,DEBTCONSOLIDATION,A,2699.999999999999,7.473333333333334,0.23,N,4.0,1
83,22.0,108000.0,RENT,6.0,EDUCATION,B,28000.0,10.7,0.26,N,4.0,1
84,23.0,151200.0,RENT,7.0,DEBTCONSOLIDATION,B,28000.0,11.11,0.19,N,2.0,0
85,24.0,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,8.353333333333333,0.4,N,2.0,1
86,21.0,12000.000000000007,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250.0,15.68,0.27,Y,3.0,1
87,22.0,70000.0,RENT,4.0,EDUCATION,C,27500.0,13.06,0.39,Y,3.0,1
88,22.0,240000.0,OWN,6.0,PERSONAL,B,25000.0,10.69,0.1,N,2.0,0
89,26.0,73200.0,RENT,5.0,VENTURE,D,27050.0,15.62,0.37,Y,2.0,1
90,24.0,83000.0,RENT,5.0,PERSONAL,C,27000.0,13.49,0.33,Y,2.0,1
91,24.0,73399.0,RENT,0.0,VENTURE,D,27000.0,15.303333333333335,0.37,N,3.0,1
92,23.0,62500.0,RENT,7.0,MEDICAL,B,26000.0,11.71,0.42000000000000004,N,2.0,1
93,23.0,120000.0,RENT,1.0,EDUCATION,B,25600.0,12.69,0.21,N,3.0,0
94,24.0,12360.0,OWN,2.0,MEDICAL,C,1599.999999999999,13.57,0.13,N,3.0,0
95,22.0,60000.0,RENT,0.0,VENTURE,B,25475.0,10.99,0.42000000000000004,N,3.0,1
96,25.0,234000.0,MORTGAGE,3.0,MEDICAL,C,20000.0,14.27,0.09,Y,4.0,0
97,24.0,234000.0,OWN,8.0,HOMEIMPROVEMENT,B,20000.0,8.88,0.09,N,4.0,0
98,26.0,234000.0,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600.0,12.18,0.09,N,3.0,0
99,25.0,221004.0,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900.0,14.42,0.05,Y,3.0,1
100,26.0,232500.0,MORTGAGE,0.0,MEDICAL,C,25000.0,14.17,0.11,Y,2.0,0
101,25.0,230000.0,MORTGAGE,5.0,MEDICAL,C,35000.0,13.99,0.15,N,4.0,0
102,23.0,83000.0,RENT,7.0,EDUCATION,B,25300.0,10.99,0.3,N,3.0,1
103,22.0,12600.0,MORTGAGE,5.0,PERSONAL,A,2000.0,5.42,0.16,N,4.0,1
104,25.0,12600.0,OWN,3.0,PERSONAL,C,1750.000000000001,13.61,0.14,N,3.0,0
105,21.0,42500.0,RENT,3.0,EDUCATION,C,25000.0,12.73,0.59,Y,3.0,1
106,24.0,41000.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,13.266666666666666,0.61,N,3.0,1
107,25.0,12816.0,OWN,0.0,DEBTCONSOLIDATION,C,3000.000000000001,12.87,0.23,Y,4.0,1
108,24.0,12960.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,0.28,N,3.0,1
109,26.0,226000.0,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000.0,11.49,0.09,N,4.0,0
110,25.0,225000.0,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000.0,19.91,0.13,Y,2.0,0
111,26.0,213000.0,MORTGAGE,6.0,EDUCATION,B,35000.0,10.65,0.16,N,2.0,1
112,24.0,225000.0,RENT,0.0,MEDICAL,B,6000.0,10.056666666666667,0.03,N,4.0,0
113,24.0,12960.0,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,0.35,N,4.0,1
114,23.0,12995.999999999993,OWN,0.0,DEBTCONSOLIDATION,C,2400.0,13.49,0.18,Y,2.0,1
115,22.0,42000.0,RENT,6.0,MEDICAL,D,25000.0,14.59,0.6,Y,2.0,1
116,26.0,48000.0,RENT,2.0,EDUCATION,B,25000.0,9.64,0.52,N,4.0,1
117,25.0,12995.999999999993,OWN,1.0,MEDICAL,D,3600.0,14.59,0.28,N,3.0,1
118,22.0,12995.999999999993,OWN,1.0,EDUCATION,B,4750.0,10.566666666666666,0.37,N,3.0,1
119,25.0,42360.0,RENT,1.0,EDUCATION,E,25000.0,16.35,0.59,Y,3.0,1
120,21.0,49000.0,RENT,4.0,EDUCATION,B,25000.0,10.99,0.51,N,2.0,1
121,25.0,225000.0,MORTGAGE,0.0,VENTURE,F,25000.0,18.67,0.11,N,2.0,0
122,26.0,225000.0,RENT,1.0,EDUCATION,A,3000.000000000001,9.32,0.010000000000000009,N,4.0,0
123,23.0,225000.0,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,0.03,N,2.0,0
124,26.0,225000.0,MORTGAGE,2.0,VENTURE,B,25000.0,10.08,0.11,N,2.0,0
125,22.0,49464.0,RENT,5.0,PERSONAL,B,25000.0,11.83,0.51,N,3.0,1
126,23.0,50000.0,RENT,1.0,DEBTCONSOLIDATION,A,25000.0,7.9,0.5,N,3.0,1
127,25.0,50000.0,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,0.5,N,2.0,1
128,24.0,44000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,15.33,0.57,N,2.0,1
129,23.0,50000.0,RENT,1.0,VENTURE,B,25000.0,11.83,0.5,N,4.0,1
130,22.0,50004.0,RENT,0.0,VENTURE,B,25000.0,10.36,0.5,N,2.0,1
131,22.0,50004.0,RENT,3.0,VENTURE,C,25000.0,12.23,0.5,N,3.0,1
132,22.0,52000.0,RENT,2.0,EDUCATION,B,25000.0,11.11,0.48,N,4.0,1
133,23.0,13200.000000000007,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,0.38,N,4.0,1
134,24.0,220000.0,MORTGAGE,1.0,EDUCATION,B,25000.0,11.58,0.11,N,2.0,0
135,23.0,216000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,0.1,N,3.0,0
136,25.0,216000.0,MORTGAGE,2.0,EDUCATION,D,25000.0,16.07,0.12,N,3.0,0
137,26.0,216000.0,MORTGAGE,10.0,EDUCATION,C,20000.0,14.22,0.09,Y,2.0,0
138,23.0,215000.0,MORTGAGE,7.0,MEDICAL,C,35000.0,14.79,0.16,Y,3.0,0
139,26.0,215000.0,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,0.06000000000000001,N,2.0,0
140,23.0,52000.0,RENT,1.0,PERSONAL,C,25000.0,13.22,0.48,N,2.0,1
141,26.0,46000.0,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,11.86,0.54,N,4.0,1
142,22.0,53000.0,RENT,5.0,EDUCATION,C,25000.0,13.43,0.47,Y,4.0,1
143,26.0,47000.0,RENT,0.0,HOMEIMPROVEMENT,D,25000.0,15.28,0.53,Y,2.0,1
144,23.0,47000.0,RENT,1.0,VENTURE,E,25000.0,17.93,0.53,N,2.0,1
145,23.0,13200.000000000007,MORTGAGE,2.0,EDUCATION,B,1400.0,9.25,0.11,N,4.0,0
146,21.0,13200.000000000007,OWN,0.0,VENTURE,C,4500.0,12.98,0.34,N,4.0,1
147,22.0,210000.0,MORTGAGE,6.0,VENTURE,B,16000.0,10.62,0.08,N,4.0,0
148,26.0,210000.0,OWN,10.0,PERSONAL,B,22000.0,11.83,0.1,N,4.0,0
149,26.0,48000.0,RENT,5.0,VENTURE,F,25000.0,18.43,0.52,N,2.0,1
150,22.0,54996.0,RENT,6.0,EDUCATION,B,25000.0,10.66,0.44999999999999996,N,4.0,1
151,24.0,55000.0,RENT,4.0,HOMEIMPROVEMENT,D,25000.0,15.946666666666665,0.44999999999999996,Y,4.0,1
152,23.0,55000.0,RENT,4.0,EDUCATION,B,25000.0,11.36,0.44999999999999996,N,3.0,1
153,23.0,55000.0,RENT,4.0,EDUCATION,D,25000.0,15.65,0.44999999999999996,Y,3.0,1
154,24.0,55164.0,RENT,8.0,PERSONAL,C,25000.0,13.22,0.44999999999999996,Y,4.0,1
155,26.0,56000.0,RENT,4.0,DEBTCONSOLIDATION,C,25000.0,12.87,0.44999999999999996,N,2.0,1
156,24.0,203500.0,OWN,8.0,MEDICAL,C,20000.0,13.04,0.1,N,3.0,0
157,23.0,190000.0,MORTGAGE,5.0,EDUCATION,F,22000.0,17.58,0.12,Y,3.0,1
158,23.0,13920.0,OWN,2.0,PERSONAL,E,7750.0,17.04,0.56,N,4.0,1
159,24.0,60000.0,RENT,0.0,PERSONAL,B,25000.0,10.99,0.42000000000000004,N,3.0,1
160,24.0,60000.0,RENT,2.0,PERSONAL,B,25000.0,11.11,0.42000000000000004,N,3.0,1
161,26.0,54000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,14.83,0.45999999999999996,Y,2.0,1
162,23.0,14000.0,OWN,2.0,DEBTCONSOLIDATION,D,4000.0,15.173333333333332,0.29,N,3.0,1
163,24.0,200000.0,RENT,8.0,MEDICAL,B,12000.0,12.69,0.06000000000000001,N,2.0,0
164,24.0,200000.0,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000.0,13.49,0.06000000000000001,N,2.0,0
165,21.0,200000.0,MORTGAGE,5.0,EDUCATION,C,16000.0,14.65,0.08,N,4.0,0
166,25.0,54000.0,RENT,3.0,HOMEIMPROVEMENT,E,25000.0,16.82,0.45999999999999996,N,4.0,1
167,23.0,60000.0,RENT,3.0,PERSONAL,C,25000.0,12.73,0.42000000000000004,N,3.0,1
168,23.0,60000.0,RENT,7.0,PERSONAL,B,25000.0,10.25,0.42000000000000004,N,4.0,1
169,21.0,60000.0,RENT,6.0,EDUCATION,B,25000.0,10.99,0.42000000000000004,N,4.0,1
170,25.0,61959.0,RENT,9.0,MEDICAL,C,25000.0,12.73,0.4,N,2.0,1
171,22.0,56400.0,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,14.96,0.43999999999999995,Y,3.0,1
172,23.0,200000.0,MORTGAGE,7.0,EDUCATION,A,28000.0,8.55,0.14,N,2.0,0
173,21.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000.0,13.99,0.13,N,2.0,0
174,24.0,200000.0,MORTGAGE,3.0,VENTURE,A,24000.0,7.49,0.12,N,4.0,0
175,26.0,200000.0,MORTGAGE,4.0,EDUCATION,C,15000.0,14.79,0.07,N,3.0,0
176,25.0,200000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500.0,11.99,0.08,N,2.0,0
177,24.0,200000.0,RENT,8.0,EDUCATION,A,10000.0,8.49,0.05,N,4.0,0
178,24.0,66000.0,RENT,3.0,EDUCATION,B,25000.0,9.91,0.38,N,2.0,1
179,22.0,66000.0,RENT,6.0,EDUCATION,C,25000.0,13.06,0.38,Y,3.0,1
180,22.0,200000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,0.04000000000000001,N,4.0,0
181,25.0,200000.0,RENT,5.0,EDUCATION,D,18000.0,16.32,0.09,N,3.0,0
182,25.0,200000.0,MORTGAGE,2.0,VENTURE,B,12000.0,10.38,0.06000000000000001,N,2.0,0
183,25.0,200000.0,MORTGAGE,9.0,PERSONAL,C,23050.0,14.35,0.12,N,3.0,0
184,24.0,200000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000.0,10.173333333333334,0.1,N,3.0,0
185,24.0,60000.0,RENT,2.0,DEBTCONSOLIDATION,E,25000.0,17.439999999999998,0.42000000000000004,Y,2.0,1
186,21.0,14400.0,OWN,0.0,HOMEIMPROVEMENT,B,3000.000000000001,11.366666666666667,0.21,N,4.0,1
187,26.0,66996.0,RENT,10.0,PERSONAL,D,25000.0,15.21,0.37,Y,2.0,1
188,23.0,67000.0,RENT,3.0,EDUCATION,A,25000.0,7.9,0.37,N,4.0,1
189,24.0,67000.0,RENT,2.0,VENTURE,B,25000.0,10.99,0.37,N,3.0,1
190,24.0,68000.0,RENT,5.0,PERSONAL,D,25000.0,14.09,0.37,Y,3.0,1
191,25.0,69000.0,RENT,9.0,PERSONAL,D,25000.0,17.49,0.36,N,2.0,1
192,25.0,200000.0,MORTGAGE,0.0,EDUCATION,B,12000.0,11.48,0.06000000000000001,N,3.0,0
193,26.0,188000.0,MORTGAGE,10.0,VENTURE,E,20000.0,17.74,0.11,N,2.0,1
194,26.0,200000.0,MORTGAGE,4.0,PERSONAL,C,3000.000000000001,13.92,0.010000000000000009,N,3.0,0
195,25.0,69996.0,RENT,9.0,EDUCATION,D,25000.0,15.21,0.36,N,3.0,1
196,22.0,14400.0,OWN,2.0,MEDICAL,B,4000.0,10.99,0.28,N,3.0,1
197,24.0,70000.0,RENT,3.0,EDUCATION,B,25000.0,11.86,0.36,N,4.0,1
198,24.0,14400.0,OWN,5.0,PERSONAL,A,6000.0,7.49,0.42000000000000004,N,3.0,1
199,24.0,56100.0,RENT,7.0,MEDICAL,D,25000.0,16.49,0.38,N,4.0,1
200,25.0,66000.0,RENT,9.0,VENTURE,D,25000.0,15.33,0.38,Y,2.0,1
201,26.0,66000.0,RENT,3.0,HOMEIMPROVEMENT,B,25000.0,11.58,0.38,N,4.0,1
202,25.0,14400.0,OWN,7.0,EDUCATION,A,5375.0,5.79,0.37,N,2.0,1
203,25.0,72612.0,RENT,9.0,MEDICAL,C,25000.0,13.11,0.34,N,2.0,1
204,23.0,74000.0,RENT,3.0,MEDICAL,B,25000.0,10.36,0.34,N,3.0,1
205,25.0,75000.0,RENT,9.0,DEBTCONSOLIDATION,B,25000.0,10.36,0.33,N,2.0,1
206,24.0,192000.0,RENT,0.0,MEDICAL,C,22000.0,13.716666666666667,0.11,Y,2.0,0
207,25.0,191000.0,MORTGAGE,1.0,MEDICAL,B,10000.0,12.53,0.05,N,4.0,0
208,26.0,190300.0,MORTGAGE,5.0,PERSONAL,A,15000.0,7.003333333333333,0.08,N,3.0,0
209,22.0,190000.0,MORTGAGE,3.0,VENTURE,C,10000.0,10.423333333333334,0.05,N,3.0,0
210,24.0,75000.0,RENT,4.0,EDUCATION,B,25000.0,10.25,0.33,N,4.0,1
211,22.0,71000.0,RENT,1.0,EDUCATION,D,25000.0,15.95,0.35,Y,4.0,1
212,26.0,190000.0,MORTGAGE,3.0,VENTURE,B,20000.0,12.18,0.11,N,4.0,0
213,23.0,189996.0,OWN,0.0,PERSONAL,B,24000.0,11.83,0.13,N,3.0,0
214,23.0,78000.0,RENT,7.0,DEBTCONSOLIDATION,C,25000.0,15.166666666666666,0.32,Y,2.0,1
215,23.0,78000.0,RENT,1.0,VENTURE,B,25000.0,10.62,0.32,N,3.0,1
216,23.0,78504.0,RENT,7.0,VENTURE,B,25000.0,10.74,0.32,N,3.0,1
217,25.0,186000.0,OWN,9.0,VENTURE,B,10000.0,10.25,0.05,N,4.0,0
218,24.0,185000.0,MORTGAGE,5.333333333333333,EDUCATION,B,35000.0,12.42,0.19,N,2.0,0
219,25.0,185000.0,RENT,6.0,VENTURE,C,15000.0,15.27,0.08,N,2.0,0
220,24.0,62050.0,RENT,8.0,MEDICAL,D,25000.0,15.33,0.34,Y,2.0,1
221,23.0,79416.0,RENT,7.0,VENTURE,D,25000.0,15.21,0.31,Y,2.0,1
222,21.0,14400.0,OWN,4.0,VENTURE,C,6250.0,14.72,0.42999999999999994,N,2.0,1
223,24.0,79631.0,RENT,8.0,PERSONAL,D,25000.0,15.7,0.31,Y,2.0,1
224,24.0,79632.0,RENT,0.0,EDUCATION,C,25000.0,13.35,0.31,N,4.0,1
225,21.0,14400.0,MORTGAGE,0.0,MEDICAL,C,1500.0,11.576666666666666,0.1,N,4.0,0
226,24.0,80000.0,RENT,6.0,EDUCATION,A,25000.0,6.62,0.31,N,2.0,1
227,26.0,80000.0,RENT,5.0,DEBTCONSOLIDATION,C,25000.0,13.61,0.31,N,4.0,1
228,22.0,185000.0,RENT,4.0,MEDICAL,B,25000.0,11.36,0.14,N,2.0,0
229,26.0,185000.0,OWN,10.0,PERSONAL,A,5000.0,7.68,0.03,N,2.0,0
230,24.0,184992.0,RENT,7.0,HOMEIMPROVEMENT,D,22000.0,14.46,0.12,Y,4.0,0
231,23.0,184000.0,OWN,5.0,EDUCATION,B,2500.0,11.83,0.010000000000000009,N,2.0,0
232,24.0,172000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000.0,13.47,0.12,Y,4.0,1
233,24.0,183000.0,MORTGAGE,2.0,MEDICAL,B,20000.0,11.49,0.11,N,3.0,0
234,22.0,183000.0,MORTGAGE,3.0,EDUCATION,A,1000.0,8.466666666666667,0.010000000000000009,N,2.0,0
235,25.0,182952.0,MORTGAGE,9.0,PERSONAL,A,15000.0,6.03,0.08,N,3.0,0
236,23.0,74004.0,RENT,7.0,DEBTCONSOLIDATION,E,25000.0,16.35,0.34,N,4.0,1
237,26.0,74004.0,RENT,10.0,DEBTCONSOLIDATION,D,25000.0,15.306666666666668,0.34,Y,4.0,1
238,25.0,81000.0,RENT,5.0,DEBTCONSOLIDATION,A,25000.0,7.29,0.31,N,3.0,1
239,23.0,81600.0,RENT,1.0,MEDICAL,B,25000.0,11.36,0.31,N,3.0,1
240,24.0,82000.0,RENT,8.0,VENTURE,B,25000.0,10.25,0.3,N,2.0,0
241,24.0,83000.0,RENT,5.0,EDUCATION,B,25000.0,11.12,0.3,N,3.0,0
242,24.0,83000.0,RENT,5.0,PERSONAL,D,25000.0,12.92,0.3,Y,3.0,0
243,24.0,180000.0,RENT,8.0,EDUCATION,E,18000.0,18.64,0.1,Y,4.0,0
244,23.0,180000.0,MORTGAGE,8.0,PERSONAL,A,28000.0,7.51,0.16,N,3.0,0
245,23.0,14400.0,OWN,2.0,HOMEIMPROVEMENT,E,4000.0,16.7,0.28,N,2.0,1
246,22.0,14400.0,OWN,0.0,PERSONAL,B,2100.0,11.14,0.15,N,4.0,0
247,22.0,84500.0,RENT,6.0,PERSONAL,F,25000.0,18.3,0.3,N,4.0,0
248,24.0,85000.0,RENT,5.0,MEDICAL,B,25000.0,10.62,0.29,N,4.0,0
249,24.0,180000.0,MORTGAGE,7.0,VENTURE,B,14000.0,11.99,0.08,N,2.0,0
250,26.0,180000.0,MORTGAGE,2.0,VENTURE,B,12000.0,9.63,0.07,N,4.0,0
251,25.0,142800.0,MORTGAGE,9.0,MEDICAL,F,10000.0,18.25,0.06000000000000001,N,4.0,1
252,23.0,14664.0,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000.0,12.72,0.41000000000000003,N,4.0,1
253,24.0,87000.0,RENT,8.0,HOMEIMPROVEMENT,D,25000.0,14.84,0.29,N,3.0,0
254,24.0,75000.0,RENT,0.0,VENTURE,E,25000.0,14.7,0.33,Y,3.0,1
255,23.0,76000.0,RENT,7.0,DEBTCONSOLIDATION,D,25000.0,16.02,0.33,N,4.0,1
256,23.0,66215.0,RENT,1.0,MEDICAL,D,25000.0,15.37,0.32,Y,2.0,1
